,id,app_name,genres,specs,tags
27,107100,Bastion,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards","Great Soundtrack, Indie, Action, Narration, Singleplayer, RPG, Hack and Slash, Story Rich, Dynamic Narration, Isometric, Adventure, Action RPG, Fantasy, Atmospheric, Colorful, Post-apocalyptic, Twin Stick Shooter, 2D, Controller, Music"
28,107200,Space Pirates and Zombies,"Action, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats","Space, Action, Indie, Sci-fi, Strategy, Top-Down, RPG, Zombies, Procedural Generation, Singleplayer, Open World, 2D, Pirates, Exploration, Shooter, Sandbox, Adventure, RTS"
29,107300,Breath of Death VII,"RPG, Indie","Single-player, Full controller support","RPG, Indie, Comedy, JRPG, Retro, Pixel Graphics, Singleplayer, Turn-Based, Parody, Funny, Short, Fantasy, Adventure, 2D, RPGMaker, Horror"
30,107310,Cthulhu Saves the World,"Indie, RPG","Single-player, Full controller support, Steam Trading Cards","RPG, Indie, Comedy, Lovecraftian, Retro, JRPG, Turn-Based, Fantasy, Funny, Singleplayer, Adventure, Pixel Graphics, Parody, 2D, Great Soundtrack, RPGMaker, Action, Memes"
31,107410,Arma 3,"Action, Simulation, Strategy","Single-player, Multi-player, Online Multi-Player, Local Multi-Player, Co-op, Online Co-op, Local Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Partial Controller Support, Steam Leaderboards, Includes level editor","Simulation, Military, Multiplayer, Realistic, Open World, Tactical, Action, FPS, War, Strategy, Sandbox, Shooter, Co-op, Moddable, Team-Based, Online Co-Op, Third-Person Shooter, Singleplayer, First-Person, TrackIR"
32,108200,Ticket to Ride,"Casual, Indie, Strategy","Single-player, Multi-player, Online Multi-Player, Local Multi-Player, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Turn Notifications","Board Game, Strategy, Casual, Multiplayer, Turn-Based, Trains, Family Friendly, Indie, Singleplayer, Touch-Friendly"
33,108500,Vessel,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support","Puzzle, Indie, Platformer, Steampunk, Action, Physics, Strategy, Singleplayer, Puzzle-Platformer, Adventure, 2D, Sci-fi, Great Soundtrack"
34,108600,Project Zomboid,"Indie, RPG, Simulation, Early Access","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Trading Cards, Partial Controller Support","Early Access, Survival, Zombies, Open World, Sandbox, Indie, Multiplayer, Simulation, RPG, Post-apocalyptic, Crafting, Co-op, Building, Survival Horror, Isometric, Singleplayer, 2D, Realistic, Adventure, Real-Time with Pause"
35,108710,Alan Wake,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Action, Horror, Adventure, Third Person, Story Rich, Atmospheric, Singleplayer, Psychological Horror, Thriller, Great Soundtrack, Episodic, Mystery, Third-Person Shooter, Dark, Cinematic, Supernatural, Narration, Survival Horror, Shooter, Survival"
36,108800,Crysis 2 - Maximum Edition,Action,"Single-player, Partial Controller Support","Action, FPS, Sci-fi, Shooter, Stealth, Multiplayer, Singleplayer, First-Person, Aliens, Futuristic, Benchmark, Great Soundtrack, Adventure, Atmospheric, Story Rich, Cyberpunk, 3D Vision, Open World, Survival, RPG"
37,109600,Neverwinter,"Action, Adventure, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, Co-op, Steam Trading Cards, In-App Purchases, Includes level editor","Free to Play, MMORPG, RPG, Massively Multiplayer, Adventure, Action, Fantasy, Multiplayer, Open World, Character Customization, Co-op, PvP, Dragons, Third Person, Action RPG, PvE, Atmospheric, Hack and Slash, Zombies, Comedy"
38,110400,inMomentum,"Indie, Racing","Single-player, Multi-player, Steam Achievements, Steam Cloud, Steam Leaderboards","Racing, Indie, Parkour, Fast-Paced, First-Person, Multiplayer, Platformer"
39,110800,L.A. Noire,"Adventure, Strategy","Single-player, Steam Achievements, Partial Controller Support","Detective, Crime, Open World, Noir, Adventure, Story Rich, Third Person, Mystery, Action, Cinematic, Singleplayer, Atmospheric, Investigation, Mature, Nudity, Strategy, Puzzle, Third-Person Shooter, 3D Vision, RPG"
40,111100,Snuggle Truck,"Casual, Indie, Racing","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Includes level editor","Casual, Racing, Indie, Driving, Singleplayer, Level Editor"
41,11130,Sherlock Holmes: The Mystery of the Mummy,Adventure,Single-player,"Adventure, Point & Click, Detective, Mystery, First-Person"
42,11140,Sherlock Holmes: The Awakened - Remastered Edition,Adventure,Single-player,"Adventure, Lovecraftian, Point & Click, Detective, Mystery, First-Person, Horror"
43,111400,Bunch of Heroes,"Action, Indie","Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Steam Leaderboards","Action, Indie, Co-op, Shooter, Multiplayer"
44,111600,Serious Sam Double D XXL,"Action, Indie","Single-player, Local Co-op, Steam Achievements, Partial Controller Support","Action, Indie, Platformer, Comedy, Shooter, 2D, Local Co-Op, Gore"
45,111900,Guardians of Middle-earth,"Action, Strategy","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards","MOBA, Strategy, Action, Co-op, Multiplayer, Fantasy"
46,11230,Gumboy Tournament,"Casual, Indie, Racing","Single-player, Multi-player","Indie, Casual, Racing, Multiplayer, Platformer"
47,11240,Space Trader: Merchant Marine,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Steam Achievements","Action, FPS, Space, Indie, Trading, Strategy, Sci-fi, First-Person, Shooter, Casual"
48,11260,Pacific Storm Allies,"Simulation, Strategy","Single-player, Multi-player, Steam Trading Cards","Simulation, Strategy, World War II, Naval"
49,11280,Penguins Arena: Sedna's World,"Action, Casual, Indie","Single-player, Multi-player, Online Multi-Player, Steam Trading Cards","Action, Casual, Indie, Multiplayer, FPS, Great Soundtrack, Shooter, Family Friendly, First-Person, Memes"
50,113020,Monaco: What's Yours Is Mine,"Action, Adventure, Casual, Indie, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor","Co-op, Stealth, Indie, Heist, Local Co-Op, Strategy, Online Co-Op, Top-Down, Action, Multiplayer, Crime, Casual, Great Soundtrack, Adventure, Controller, Local Multiplayer, Pixel Graphics, 2D, Loot, Singleplayer"
51,113200,The Binding of Isaac,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards","Rogue-like, Indie, Replay Value, Difficult, Procedural Generation, Action, Dark, Top-Down, Great Soundtrack, Adventure, Singleplayer, Rogue-lite, RPG, Survival, 2D, Perma Death, Dungeon Crawler, Bullet Hell, Atmospheric, Arena Shooter"
52,11330,Obulis,"Casual, Indie","Single-player, Steam Achievements","Puzzle, Casual, Indie, Physics, Singleplayer, Strategy, Atmospheric, Great Soundtrack"
53,11340,Larva Mortus,"Action, Indie","Single-player, Steam Achievements","Action, Indie, Top-Down, Horror, Shooter, RPG, Zombies, Arcade, Top-Down Shooter, Singleplayer, 2D, Casual, Atmospheric, Retro, Adventure"
54,113400,APB Reloaded,"Action, Free to Play, Massively Multiplayer","Multi-player, MMO, Steam Achievements","Free to Play, Open World, Action, Character Customization, Multiplayer, Massively Multiplayer, Third-Person Shooter, Shooter, PvP, Crime, Third Person, Co-op, Racing, Sandbox, FPS, Adventure, Hacking, Singleplayer, Nudity, Anime"
55,113420,Fallen Earth Free2Play,"Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, Co-op, Steam Achievements","Free to Play, Survival, Multiplayer, Open World, Post-apocalyptic, Zombies, Massively Multiplayer, Crafting, RPG, Shooter, Adventure, FPS, Sandbox, Co-op, First-Person, Action, Singleplayer, MMORPG, Third-Person Shooter, Action RPG"
56,11360,Chains,Indie,Single-player,"Indie, Puzzle, Physics, Casual, Singleplayer, 2D, Great Soundtrack, Retro, Atmospheric"
57,11450,Overlord™,RPG,"Single-player, Partial Controller Support","RPG, Villain Protagonist, Third Person, Action, Comedy, Fantasy, Adventure, Funny, Singleplayer, Dark Humor, Action-Adventure, Strategy, Action RPG, Atmospheric, Puzzle, RTS, Open World, Hack and Slash, Multiplayer, Story Rich"
58,115100,Costume Quest,"Adventure, Casual, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud","RPG, Adventure, Comedy, Casual, Singleplayer, Family Friendly, Turn-Based, Cute, Indie, Short, Female Protagonist, Turn-Based Strategy, Funny, Puzzle, Turn-Based Combat, Controller, JRPG, Fantasy, Quick-Time Events"
59,115110,Stacking,"Adventure, Indie","Single-player, Partial Controller Support","Adventure, Puzzle, Indie, Comedy, Third Person, Singleplayer, Short, Exploration, Funny, Family Friendly, Casual, Atmospheric, Cute, Steampunk"
60,115320,Prototype 2,"Action, Adventure","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards","Action, Open World, Gore, Adventure, Third Person, Violent, Singleplayer, Superhero, Parkour, Zombies, Hack and Slash, Sandbox, Sci-fi, Story Rich, RPG, Multiplayer, Stealth, Atmospheric, Horror, Co-op"
61,11590,Hospital Tycoon,Simulation,Single-player,"Simulation, Management, Singleplayer"
62,11610,Dragon Nest,"Action, Free to Play, Massively Multiplayer, RPG","Single-player, Multi-player, MMO, Co-op","Free to Play, Action, RPG, Anime, Massively Multiplayer, MMORPG, Fantasy, Hack and Slash, Adventure, Dragons, Multiplayer, Dungeon Crawler"
63,1200,Red Orchestra: Ostfront 41-45,Action,"Multi-player, Steam Achievements, Valve Anti-Cheat enabled","Action, World War II, FPS, Realistic, Multiplayer, Shooter, Tactical, Singleplayer, Military, Simulation, Historical, War, Team-Based, Classic, Strategy, Atmospheric"
64,12100,Grand Theft Auto III,Action,"Single-player, Partial Controller Support","Open World, Action, Classic, Third Person, Singleplayer, Sandbox, Crime, Driving, Shooter, Adventure, Third-Person Shooter, Atmospheric, Great Soundtrack, Violent, Silent Protagonist, Mature, Story Rich, Multiplayer, Moddable, Satire"
65,12110,Grand Theft Auto: Vice City,Action,"Single-player, Partial Controller Support","Open World, Action, 1980s, Classic, Great Soundtrack, Third Person, Singleplayer, Crime, Sandbox, Atmospheric, Driving, Adventure, Third-Person Shooter, Shooter, Violent, Music, Mature, Multiplayer, Funny, Moddable"
66,12120,Grand Theft Auto: San Andreas,Action,Single-player,"Open World, Action, Multiplayer, Crime, Third Person, Classic, Singleplayer, Shooter, Driving, Sandbox, Adventure, Story Rich, Third-Person Shooter, Great Soundtrack, Mature, Atmospheric, Moddable, Funny, Comedy, RPG"
67,12130,Manhunt,Action,Single-player,"Gore, Stealth, Action, Horror, Violent, Singleplayer, Psychological Horror, Survival Horror, Atmospheric, Dark, Great Soundtrack, Third Person, Survival, Classic, Mature"
68,12140,Max Payne,Action,Single-player,"Noir, Action, Classic, Third-Person Shooter, Story Rich, Bullet Time, Atmospheric, Dark, Third Person, Shooter, Singleplayer, Great Soundtrack, Linear, Detective, Cinematic, Adventure, Violent, Crime, Horror, Psychological Horror"
69,12150,Max Payne 2: The Fall of Max Payne,Action,Single-player,"Noir, Action, Third-Person Shooter, Classic, Bullet Time, Story Rich, Atmospheric, Shooter, Third Person, Singleplayer, Dark, Great Soundtrack, Cinematic, Adventure, Crime, Nudity, Detective"
70,12160,Midnight Club 2,Racing,"Single-player, Multi-player","Racing, Open World, Great Soundtrack, Arcade, Classic, Multiplayer, Singleplayer, Sandbox"
71,12200,Bully: Scholarship Edition,"Action, Adventure","Single-player, Partial Controller Support","Open World, Action, Adventure, Third Person, Comedy, Singleplayer, Great Soundtrack, Funny, Classic, Sandbox, Dark Humor, Satire, Story Rich, Atmospheric, Exploration, Simulation, Controller, Mature, Multiplayer, First-Person"
72,12220,Grand Theft Auto: Episodes from Liberty City,Action,"Single-player, Multi-player","Open World, Action, Third Person, Multiplayer, Adventure, Shooter, Crime, Sandbox, Singleplayer, Driving, Third-Person Shooter, Great Soundtrack, Mature, Nudity, Racing, Moddable, Story Rich, Comedy, Atmospheric, Funny"
73,12330,Darkstar One,Action,Single-player,"Action, Space, Sci-fi, Space Sim, Simulation, RPG, Open World, Exploration"
74,12340,Jack Keane,Adventure,"Single-player, Steam Trading Cards","Adventure, Point & Click, Comedy"
75,12360,FlatOut: Ultimate Carnage,Racing,"Single-player, Multi-player","Racing, Destruction, Multiplayer, Arcade, Action, Singleplayer, Physics, Great Soundtrack, Driving"
76,12430,SlamIt Pinball Big Score,Casual,Single-player,"Casual, Pinball"
77,12470,Port Royale 2,Strategy,Single-player,"Strategy, Trading, Pirates, Economy, Historical, Naval"
78,12480,9th Company: Roots Of Terror,Strategy,Single-player,"Strategy, RTS, Military, Cold War, War"
79,1250,Killing Floor,Action,"Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Includes level editor","FPS, Zombies, Co-op, Survival, Action, Multiplayer, Horror, Online Co-Op, Shooter, Gore, Team-Based, First-Person, Moddable, Survival Horror, Great Soundtrack, Singleplayer, Class-Based, Difficult, Comedy, Adventure"
80,12500,PuzzleQuest: Challenge of the Warlords,Casual,"Single-player, Multi-player, Steam Cloud","Puzzle, Casual, Match 3, RPG, Fantasy, 2D, Strategy, Singleplayer, Anime, Indie, Touch-Friendly"
81,12510,Prison Tycoon 3™: Lockdown,Strategy,Single-player,"Strategy, Simulation"
82,12590,Sprint Cars Road to Knoxville,Racing,"Single-player, Multi-player",Racing
83,1280,Darkest Hour: Europe '44-'45,"Action, Simulation","Multi-player, Mods, Partial Controller Support, Includes level editor","World War II, FPS, Action, Shooter, Simulation, Tactical, Multiplayer, Realistic, War, Mod, Free to Play, Historical"
84,12810,Overlord II,RPG,Single-player,"RPG, Fantasy, Villain Protagonist, Singleplayer, Funny, Action, Comedy, Third Person, Magic, Action RPG, Strategy, Adventure, Dark Humor, Action-Adventure, Open World, Puzzle, Dark Fantasy, Atmospheric, Multiplayer, RTS"
85,12830,Operation Flashpoint: Dragon Rising,Action,"Single-player, Partial Controller Support","Action, FPS, Tactical, Military, Open World, Multiplayer, Simulation, First-Person, Co-op, Singleplayer, Shooter, Realistic, Strategy, War, Walking Simulator, Adventure, Stealth"
86,130,Half-Life: Blue Shift,Action,Single-player,"FPS, Action, Sci-fi, Singleplayer, Shooter, Aliens, First-Person, Classic, Adventure, Zombies, Short, 1990's, Atmospheric, Story Rich, Silent Protagonist, Puzzle"
87,13210,Unreal Tournament 3 Black,Action,"Single-player, Multi-player, Co-op, Steam Achievements","FPS, Action, Multiplayer, Arena Shooter, Shooter, Sci-fi, Fast-Paced, First-Person, Competitive, Gore, Co-op, Great Soundtrack, Classic, Singleplayer, Team-Based, Adventure, Atmospheric, Moddable, Split Screen, Futuristic"
88,13230,Unreal Tournament 2004: Editor's Choice Edition,Action,"Single-player, Multi-player, Steam Trading Cards","FPS, Arena Shooter, Action, Classic, Multiplayer, Fast-Paced, Sci-fi, Competitive, Moddable, Great Soundtrack, First-Person, Shooter, Singleplayer, e-sports, Atmospheric, Co-op, Adventure, RPG"
89,13250,Unreal Gold,Action,"Single-player, Multi-player","Classic, FPS, Action, Great Soundtrack, Sci-fi, Atmospheric, First-Person, Shooter, Singleplayer, Multiplayer, 1990's, Female Protagonist, Adventure, Fast-Paced, Co-op, Nudity, Horror"
90,13500,Prince of Persia: Warrior Within™,"Action, Adventure",Single-player,"Action, Adventure, Parkour, Third Person, Great Soundtrack, Singleplayer, Platformer, Atmospheric, Time Travel, Classic, Hack and Slash, Time Manipulation, Gore, Fantasy, Story Rich, Open World, Dark"
91,13520,Far Cry®,Action,Single-player,"FPS, Action, Classic, Shooter, Open World, Stealth, First-Person, Singleplayer, Difficult, Multiplayer, Adventure, Atmospheric, Story Rich, Sci-fi, Horror, Sandbox, Great Soundtrack, Survival"
92,13540,Tom Clancy's Rainbow Six® Vegas,Action,"Single-player, Multi-player","Action, FPS, Tactical, Co-op, Singleplayer, First-Person, Shooter, Multiplayer, Online Co-Op, Classic, Stealth"
93,13560,Tom Clancy's Splinter Cell®,Action,Single-player,"Stealth, Action, Third Person, Singleplayer, Classic, Adventure, Shooter, Third-Person Shooter, Atmospheric, Multiplayer, Difficult"
94,13570,Tom Clancy's Splinter Cell Chaos Theory®,Action,Single-player,"Stealth, Action, Third Person, Co-op, Classic, Great Soundtrack, Atmospheric, Singleplayer, Multiplayer, Tactical, Shooter, Story Rich, Third-Person Shooter, Adventure"
95,13600,Prince of Persia®: The Sands of Time,"Action, Adventure",Single-player,"Action, Adventure, Parkour, Platformer, Third Person, Classic, Singleplayer, Puzzle-Platformer, Story Rich, Time Manipulation, Great Soundtrack, Time Travel, Fantasy, Hack and Slash, Atmospheric"
96,15000,Tom Clancy's Rainbow Six Lockdown™,Action,"Single-player, Multi-player","Action, FPS, Tactical, Shooter, Multiplayer"
97,1510,Uplink,"Indie, Strategy",Single-player,"Hacking, Indie, Strategy, Singleplayer, Cyberpunk, Great Soundtrack, Classic, Simulation, Sci-fi, 2D, Real-Time with Pause, Experimental, Story Rich, Atmospheric, Perma Death"
98,15100,Assassin's Creed™: Director's Cut Edition,"Action, Adventure","Single-player, Partial Controller Support","Action, Adventure, Parkour, Stealth, Open World, Third Person, Historical, Medieval, Singleplayer, Assassin, Conspiracy, Atmospheric, Action-Adventure, Story Rich, Great Soundtrack, Sandbox, Controller, Sci-fi, Classic, RPG"
99,15120,Tom Clancy's Rainbow Six® Vegas 2,Action,"Single-player, Multi-player, Co-op","Action, Tactical, FPS, Co-op, Online Co-Op, Multiplayer, Singleplayer, Shooter, First-Person, Character Customization, Team-Based, Strategy, Stealth, Third Person, Classic, Difficult, Adventure, Third-Person Shooter, Atmospheric"
100,15130,Beyond Good and Evil™,"Action, Adventure",Single-player,"Adventure, Female Protagonist, Action, Third Person, Cult Classic, Stealth, Classic, Singleplayer, Sci-fi, Action-Adventure, Great Soundtrack, Story Rich, Open World, Platformer, Dystopian, Exploration, Atmospheric"
101,15170,Heroes of Might & Magic V,Strategy,Single-player,"Strategy, Turn-Based Strategy, Fantasy, Tactical, Turn-Based, RPG, Multiplayer, Classic, Story Rich, Singleplayer"
102,1520,DEFCON,"Indie, Strategy","Single-player, Multi-player","Strategy, Indie, Multiplayer, Wargame, Cold War, Real-Time with Pause, RTS, Simulation, Atmospheric, 2D, Diplomacy, War, Tactical, Singleplayer, Great Soundtrack, Psychological Horror"
103,15200,Silent Hunter®: Wolves of the Pacific,Simulation,"Single-player, Multi-player","Simulation, World War II, Naval, Military"
104,15300,Tom Clancy's Ghost Recon®,Action,"Single-player, Co-op","Tactical, FPS, Action, Simulation, Classic, Shooter, Strategy, Singleplayer, Realistic, Military, Stealth, Multiplayer, Co-op, First-Person, Difficult"
105,15320,IL-2 Sturmovik: 1946,Simulation,"Single-player, Multi-player, Steam Cloud, Includes level editor","Simulation, Flight, World War II, Military, Historical, TrackIR, Realistic, Multiplayer, Action, Classic, Moddable"
106,15390,Brothers in Arms: Hell's Highway™,Action,Single-player,"Action, World War II, FPS, Tactical, Singleplayer, Military, Story Rich, Shooter, Gore, Atmospheric, Strategy, First-Person, War, Multiplayer, Historical"
107,15520,AaAaAA!!! - A Reckless Disregard for Gravity,"Action, Indie, Sports","Single-player, Steam Achievements, Steam Leaderboards","Action, Indie, First-Person, Sports, Score Attack, Funny, Singleplayer, Comedy, Dystopian, Cyberpunk, VR, Arcade"
108,15620,"Warhammer 40,000: Dawn of War II",Strategy,"Single-player, Multi-player, Co-op, Steam Trading Cards, Steam Cloud","Strategy, Warhammer 40K, RTS, Sci-fi, Multiplayer, Tactical, Games Workshop, Singleplayer, Co-op, Futuristic, Gore, Online Co-Op, RPG, Action, Real-Time, Fantasy, Co-op Campaign, Great Soundtrack, Atmospheric, Story Rich"
109,15700,Oddworld: Abe's Oddysee®,Adventure,"Single-player, Steam Trading Cards","Platformer, Adventure, Classic, Puzzle, 2D, Singleplayer, Cult Classic, Dark, Funny, Comedy, Retro, Cinematic, Atmospheric, Difficult, Puzzle-Platformer, Action, Fantasy"
110,15710,Oddworld: Abe's Exoddus®,Adventure,Single-player,"Adventure, Platformer, 2D, Puzzle, Classic, Singleplayer, Cult Classic, Comedy, Funny, Dark, Retro, Action, 1990's, Puzzle-Platformer, Stealth"
